model,dataset,prompt_idx,prompt,denoising_step,total_denoising_steps,image_resolution
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),5,"A hyper detail painting in richard macneil style of a duck with her ducklings, walking through a field were there are cows grazing ",18,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),5,"A hyper detail painting in richard macneil style of a duck with her ducklings, walking through a field were there are cows grazing ",19,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,0,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,1,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,2,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,3,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,4,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,5,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,6,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,7,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,8,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,9,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,10,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,11,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,12,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,13,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,14,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,15,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,16,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,17,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,18,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),6,A white horse in a storm of fire above the ocean ,19,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,0,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,1,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,2,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,3,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,4,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,5,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,6,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,7,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,8,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,9,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,10,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,11,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,12,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,13,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,14,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,15,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,16,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,17,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,18,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),7,tiger cub playing with soccer ball ,19,20,1024x1024
